Gene symbol,Gene name,Significant temporal comparisons:,logFC: 0 vs 2h,logFC: 0 vs 4h,logFC: 0 vs 6h,logFC: 0 vs 8h,logFC: 2 vs 4h,logFC: 2 vs 6h,logFC: 2 vs 8h,logFC: 4 vs 6h,logFC: 4 vs 8h,logFC: 6 vs 8h
LOC102654939,uncharacterized LOC102654939,0 vs 2; 0 vs 4; 0 vs 6; 0 vs 8; 2 vs 6; 2 vs 8; 6 vs 8,0.93,1.33,1.87,2.03,0.4,0.94,1.1,0.55,0.71,-0.96
LOC411978,myrosinase 1,0 vs 2; 0 vs 4; 0 vs 6; 0 vs 8; 2 vs 6; 2 vs 8; 6 vs 8,0.69,1.11,1.71,1.63,0.42,1.02,0.93,0.6,0.52,-1.19
LOC551591,carboxy-terminal domain RNA polymerase II polypeptide A small phosphatase 1,0 vs 2; 0 vs 4; 0 vs 6; 0 vs 8; 2 vs 6; 2 vs 8; 6 vs 8,0.37,0.64,0.74,0.87,0.26,0.37,0.5,0.11,0.23,-0.47
LOC100577142,G-protein coupled receptor Mth,0 vs 2; 0 vs 4; 0 vs 6; 0 vs 8; 2 vs 6; 2 vs 8; 6 vs 8,0.74,1.25,1.51,1.71,0.51,0.77,0.97,0.26,0.46,-1.06
LOC552804,tubulin-specific chaperone cofactor E-like protein,0 vs 2; 0 vs 4; 0 vs 6; 0 vs 8; 2 vs 6; 2 vs 8; 6 vs 8,0.75,1.2,1.53,1.45,0.46,0.79,0.71,0.33,0.25,-1.02
LOC410620,heat shock protein Hsp70Ab-like,0 vs 2; 0 vs 4; 0 vs 8; 2 vs 4; 2 vs 6; 2 vs 8; 6 vs 8,2.46,0.79,0.64,1,-1.67,-1.81,-1.45,-0.14,0.22,1.02
LOC408817,alanine--glyoxylate aminotransferase 2-like,0 vs 4; 0 vs 6; 0 vs 8; 2 vs 4; 2 vs 6; 2 vs 8; 6 vs 8,1.18,3.35,4.14,3.61,2.17,2.96,2.43,0.79,0.26,-3.98
LOC409515,long-chain-fatty-acid--CoA ligase 4,0 vs 4; 0 vs 6; 0 vs 8; 2 vs 4; 2 vs 6; 2 vs 8; 6 vs 8,-0.32,-0.76,-0.85,-0.74,-0.45,-0.53,-0.42,-0.08,0.03,0.47
LOC725400,4-hydroxyphenylpyruvate dioxygenase,0 vs 4; 0 vs 6; 0 vs 8; 2 vs 4; 2 vs 6; 2 vs 8; 6 vs 8,0.07,0.97,0.86,0.87,0.91,0.79,0.8,-0.12,-0.11,-0.51
LOC725540,uncharacterized LOC725540,0 vs 4; 0 vs 6; 0 vs 8; 2 vs 4; 2 vs 6; 2 vs 8; 6 vs 8,0.5,2.35,2.72,2.72,1.85,2.22,2.22,0.37,0.37,-2.88
LOC413574,26S proteasome non-ATPase regulatory subunit 2,0 vs 4; 0 vs 6; 0 vs 8; 2 vs 4; 2 vs 6; 2 vs 8; 6 vs 8,0.42,2.08,2.29,2.31,1.66,1.87,1.9,0.21,0.24,-1.98
LOC724685,protein-L-isoaspartate O-methyltransferase domain-containing protein 1,0 vs 4; 0 vs 6; 0 vs 8; 2 vs 4; 2 vs 6; 2 vs 8; 6 vs 8,0.17,0.7,0.9,0.89,0.53,0.73,0.72,0.19,0.19,-0.67
LOC411569,protein TANC2,0 vs 4; 0 vs 6; 0 vs 8; 2 vs 4; 2 vs 6; 2 vs 8; 6 vs 8,0.19,0.82,0.92,0.93,0.63,0.73,0.74,0.11,0.11,-0.78
LOC413508,RNA-binding protein Rsf1,0 vs 4; 0 vs 6; 0 vs 8; 2 vs 4; 2 vs 6; 2 vs 8; 6 vs 8,-0.06,-0.49,-0.61,-0.72,-0.44,-0.55,-0.66,-0.12,-0.23,0.47
LOC410042,glyoxylate reductase/hydroxypyruvate reductase,0 vs 4; 0 vs 6; 0 vs 8; 2 vs 4; 2 vs 6; 2 vs 8; 6 vs 8,0.02,-0.37,-0.31,-0.25,-0.4,-0.33,-0.27,0.06,0.12,0.27
LOC726495,protein D2,0 vs 4; 0 vs 6; 0 vs 8; 2 vs 6; 2 vs 8; 4 vs 8; 6 vs 8,0.54,1.11,1.75,2.08,0.57,1.21,1.54,0.64,0.97,-1.28
LOC725746,uncharacterized LOC725746,0 vs 4; 0 vs 6; 0 vs 8; 2 vs 6; 2 vs 8; 4 vs 8; 6 vs 8,-0.17,-0.48,-0.84,-0.88,-0.3,-0.66,-0.7,-0.36,-0.4,0.84
LOC551197,probable cytochrome P450 6a13,0 vs 4; 0 vs 6; 0 vs 8; 2 vs 6; 2 vs 8; 4 vs 8; 6 vs 8,0.4,0.76,1.08,1.44,0.36,0.68,1.04,0.32,0.68,-0.72
LOC412491,double-stranded RNA-specific editase 1,0 vs 4; 0 vs 6; 0 vs 8; 2 vs 6; 2 vs 8; 4 vs 8; 6 vs 8,-0.25,-0.49,-0.62,-0.82,-0.24,-0.37,-0.57,-0.13,-0.34,0.44
LOC100576916,cuticle protein 18.7,0 vs 4; 0 vs 6; 0 vs 8; 2 vs 6; 2 vs 8; 4 vs 8; 6 vs 8,-0.93,-1.48,-2.42,-2.74,-0.54,-1.49,-1.81,-0.95,-1.27,1.64
LOC413481,probable chitinase 10,0 vs 4; 0 vs 6; 0 vs 8; 2 vs 6; 2 vs 8; 4 vs 8; 6 vs 8,0.34,0.93,1.62,1.96,0.59,1.28,1.62,0.69,1.02,-1.18
LOC408969,aminoacylase-1,0 vs 4; 0 vs 6; 0 vs 8; 2 vs 6; 2 vs 8; 4 vs 8; 6 vs 8,0.14,0.41,0.78,0.92,0.27,0.64,0.78,0.37,0.51,-0.62
HEX70b,hexamerin 70b,0 vs 4; 0 vs 6; 0 vs 8; 2 vs 6; 2 vs 8; 4 vs 8; 6 vs 8,0.9,3.78,5.13,6.52,2.88,4.23,5.62,1.35,2.73,-4.6
LOC724518,serine-rich adhesin for platelets,0 vs 4; 0 vs 6; 0 vs 8; 2 vs 6; 2 vs 8; 4 vs 8; 6 vs 8,0.03,0.49,1.03,1.25,0.46,1,1.21,0.54,0.75,-1.24
Hex70a,hexamerin 70a,0 vs 4; 0 vs 6; 0 vs 8; 2 vs 6; 2 vs 8; 4 vs 8; 6 vs 8,0.8,2.42,3.65,4.93,1.62,2.84,4.13,1.22,2.51,-3.26
LOC100576841,uncharacterized LOC100576841,0 vs 4; 0 vs 6; 0 vs 8; 2 vs 6; 2 vs 8; 4 vs 8; 6 vs 8,0.55,0.73,1.22,1.51,0.18,0.67,0.96,0.49,0.78,-1.08
LOC411706,"phospholipase B1, membrane-associated",0 vs 4; 0 vs 6; 0 vs 8; 2 vs 6; 2 vs 8; 4 vs 8; 6 vs 8,-1.45,-1.86,-4.03,-4.74,-0.41,-2.57,-3.29,-2.17,-2.88,2.87
LOC100576446,solute carrier family 26 member 6,0 vs 4; 0 vs 6; 0 vs 8; 2 vs 6; 2 vs 8; 4 vs 8; 6 vs 8,0.33,0.6,1.17,1.38,0.27,0.84,1.05,0.57,0.78,-0.97
LOC551113,"delta-1-pyrroline-5-carboxylate dehydrogenase, mitochondrial",0 vs 4; 0 vs 6; 0 vs 8; 2 vs 6; 2 vs 8; 4 vs 8; 6 vs 8,0.04,0.32,0.57,0.68,0.28,0.53,0.64,0.25,0.37,-0.58
LOC726418,flavin-containing monooxygenase FMO GS-OX-like 4,0 vs 4; 0 vs 6; 0 vs 8; 2 vs 6; 2 vs 8; 4 vs 8; 6 vs 8,0.63,1.09,1.61,2.24,0.47,0.98,1.61,0.51,1.15,-1.4
LOC494509,malvolio,0 vs 4; 0 vs 6; 0 vs 8; 2 vs 6; 2 vs 8; 4 vs 8; 6 vs 8,-0.01,0.35,0.77,0.82,0.36,0.78,0.83,0.42,0.47,-0.79
LOC551463,decaprenyl-diphosphate synthase subunit 2,0 vs 4; 0 vs 6; 0 vs 8; 2 vs 6; 2 vs 8; 4 vs 8; 6 vs 8,0.23,0.43,0.86,0.87,0.19,0.62,0.64,0.43,0.45,-0.5
LOC412843,phosphoenolpyruvate carboxykinase,0 vs 4; 0 vs 6; 0 vs 8; 2 vs 6; 2 vs 8; 4 vs 8; 6 vs 8,0.5,2.4,3.91,4.81,1.9,3.41,4.31,1.51,2.41,-3.8
LOC410013,calexcitin-2,0 vs 4; 0 vs 6; 0 vs 8; 2 vs 6; 2 vs 8; 4 vs 8; 6 vs 8,-0.16,-0.74,-1.19,-1.63,-0.58,-1.03,-1.46,-0.45,-0.89,1.16
LOC726093,tetratricopeptide repeat protein 14 homolog,0 vs 4; 0 vs 6; 0 vs 8; 2 vs 6; 2 vs 8; 4 vs 8; 6 vs 8,-0.07,-0.29,-0.39,-0.61,-0.23,-0.32,-0.54,-0.1,-0.32,0.26
LOC725813,uncharacterized LOC725813,0 vs 4; 0 vs 6; 0 vs 8; 2 vs 6; 2 vs 8; 4 vs 8; 6 vs 8,0.19,0.4,0.78,1.07,0.21,0.59,0.87,0.39,0.67,-0.56
LOC409626,chymotrypsin-2,0 vs 4; 0 vs 6; 0 vs 8; 2 vs 6; 2 vs 8; 4 vs 8; 6 vs 8,0.4,0.5,0.87,1.13,0.1,0.47,0.73,0.37,0.62,-0.57
LOC409590,cyclin-dependent kinase 1,0 vs 4; 0 vs 6; 0 vs 8; 2 vs 6; 2 vs 8; 4 vs 8; 6 vs 8,-0.15,-0.31,-0.71,-0.61,-0.15,-0.56,-0.45,-0.4,-0.3,0.63
LOC410207,dihydropyrimidine dehydrogenase [NADP(+)],0 vs 4; 0 vs 6; 0 vs 8; 2 vs 6; 2 vs 8; 4 vs 8; 6 vs 8,0.32,0.43,0.83,0.89,0.11,0.52,0.58,0.41,0.47,-0.67
Cyp4g11,cytochrome P450 4G11,0 vs 4; 0 vs 6; 0 vs 8; 2 vs 6; 2 vs 8; 4 vs 8; 6 vs 8,0.3,0.5,0.78,1.06,0.2,0.48,0.76,0.28,0.56,-0.65
LOC726362,4-coumarate--CoA ligase 1,0 vs 4; 0 vs 6; 0 vs 8; 2 vs 6; 2 vs 8; 4 vs 8; 6 vs 8,0.54,0.81,1.52,1.82,0.27,0.98,1.28,0.71,1.01,-1.27
LOC726658,uncharacterized LOC726658,0 vs 4; 0 vs 6; 0 vs 8; 2 vs 6; 2 vs 8; 4 vs 8; 6 vs 8,0.11,0.71,1.24,1.48,0.6,1.13,1.38,0.53,0.77,-1.43
LOC412548,"2-oxoisovalerate dehydrogenase subunit alpha, mitochondrial",0 vs 4; 0 vs 6; 0 vs 8; 2 vs 6; 2 vs 8; 4 vs 8; 6 vs 8,0.05,0.28,0.54,0.67,0.23,0.49,0.62,0.26,0.39,-0.38
LOC413543,"sushi, von Willebrand factor type A, EGF and pentraxin domain-containing protein 1",0 vs 4; 0 vs 6; 0 vs 8; 2 vs 6; 2 vs 8; 4 vs 8; 6 vs 8,0.66,0.79,1.47,1.81,0.13,0.8,1.14,0.67,1.01,-0.84
LOC724569,uncharacterized LOC724569,0 vs 4; 0 vs 6; 0 vs 8; 2 vs 6; 2 vs 8; 4 vs 8; 6 vs 8,0.99,1.35,2.35,2.66,0.36,1.36,1.67,1,1.31,-1.4
LOC411100,FGGY carbohydrate kinase domain-containing protein,0 vs 4; 0 vs 6; 0 vs 8; 2 vs 6; 2 vs 8; 4 vs 8; 6 vs 8,0.18,0.29,0.51,0.66,0.11,0.33,0.48,0.22,0.37,-0.43
LOC412619,amidophosphoribosyltransferase,0 vs 4; 0 vs 6; 0 vs 8; 2 vs 6; 2 vs 8; 4 vs 8; 6 vs 8,-0.07,0.34,0.74,0.83,0.41,0.81,0.9,0.4,0.49,-0.82
LOC102655319,inner centromere protein A,0 vs 4; 0 vs 6; 0 vs 8; 2 vs 6; 2 vs 8; 4 vs 8; 6 vs 8,1.03,1.48,2.94,3.62,0.45,1.91,2.59,1.46,2.14,-2.03
LOC107965219,feline leukemia virus subgroup C receptor-related protein 2,0 vs 4; 0 vs 6; 0 vs 8; 2 vs 6; 2 vs 8; 4 vs 8; 6 vs 8,-0.03,-0.74,-1.22,-1.62,-0.7,-1.19,-1.59,-0.49,-0.89,1.52
LOC725154,serine protease snake,0 vs 4; 0 vs 6; 0 vs 8; 2 vs 6; 2 vs 8; 4 vs 8; 6 vs 8,-0.04,-0.4,-0.61,-0.87,-0.36,-0.57,-0.83,-0.2,-0.47,0.76
LOC724421,fibrillin-2,0 vs 4; 0 vs 6; 0 vs 8; 2 vs 6; 2 vs 8; 4 vs 8; 6 vs 8,0.52,0.89,1.71,1.85,0.37,1.19,1.33,0.82,0.96,-1.09
LOC551817,putative peptidyl-prolyl cis-trans isomerase dodo,0 vs 4; 0 vs 6; 0 vs 8; 2 vs 6; 2 vs 8; 4 vs 8; 6 vs 8,-0.07,-0.23,-0.45,-0.54,-0.16,-0.39,-0.47,-0.22,-0.31,0.34
LOC551089,translation initiation factor IF-2,0 vs 4; 0 vs 6; 0 vs 8; 2 vs 6; 2 vs 8; 4 vs 8; 6 vs 8,1.56,2.1,3.82,5.17,0.54,2.25,3.6,1.72,3.07,-2.96
LOC725500,laccase,0 vs 4; 0 vs 6; 0 vs 8; 2 vs 6; 2 vs 8; 4 vs 8; 6 vs 8,0.45,0.63,1.37,1.79,0.18,0.92,1.34,0.74,1.16,-1.07
LOC410748,"glucose dehydrogenase [FAD, quinone]",0 vs 4; 0 vs 6; 0 vs 8; 2 vs 6; 2 vs 8; 4 vs 8; 6 vs 8,0.9,1.41,2.37,3,0.52,1.47,2.1,0.95,1.58,-1.29
CSP2,chemosensory protein 2,0 vs 4; 0 vs 6; 0 vs 8; 2 vs 6; 2 vs 8; 4 vs 8; 6 vs 8,0.76,1.16,2.05,2.68,0.4,1.3,1.92,0.9,1.52,-1.38
LOC410606,"protein Skeletor, isoforms B/C",0 vs 4; 0 vs 6; 0 vs 8; 2 vs 6; 2 vs 8; 4 vs 8; 6 vs 8,0.33,0.46,0.97,1.18,0.13,0.63,0.84,0.51,0.72,-0.57
CTL5,C-type lectin 5,0 vs 4; 0 vs 6; 0 vs 8; 2 vs 6; 2 vs 8; 4 vs 8; 6 vs 8,1.05,1.69,3.42,4.06,0.64,2.37,3.01,1.73,2.37,-2.44
LOC724568,calpain-C,0 vs 4; 0 vs 6; 0 vs 8; 2 vs 6; 2 vs 8; 4 vs 8; 6 vs 8,0.4,0.74,1.25,1.57,0.34,0.85,1.17,0.51,0.82,-0.97
LOC724946,cytochrome P450 6a14-like,0 vs 4; 0 vs 6; 0 vs 8; 2 vs 6; 2 vs 8; 4 vs 8; 6 vs 8,0.07,0.46,0.96,0.98,0.39,0.89,0.91,0.5,0.52,-0.77
LOC100576555,cytochrome b561 domain-containing protein 2,0 vs 6; 0 vs 8; 2 vs 4; 2 vs 6; 2 vs 8; 4 vs 8; 6 vs 8,-1.33,0.6,1.59,1.99,1.94,2.93,3.33,0.99,1.39,-2.68
LOC410885,T-box protein 2,0 vs 2; 0 vs 4; 0 vs 6; 0 vs 8; 2 vs 4; 2 vs 6,1.11,0.5,0.68,0.85,-0.6,-0.43,-0.26,0.18,0.34,0.12
LOC100578739,RYamide receptor,0 vs 2; 0 vs 4; 0 vs 6; 0 vs 8; 2 vs 6; 2 vs 8,1.26,1,0.62,0.56,-0.25,-0.63,-0.7,-0.38,-0.44,0.38
LOC100576901,cGMP-dependent protein kinase 1,0 vs 2; 0 vs 4; 0 vs 6; 0 vs 8; 2 vs 6; 6 vs 8,0.75,1.27,1.46,1.22,0.52,0.72,0.47,0.19,-0.05,-1.16
LOC726916,zinc finger protein 91,0 vs 2; 0 vs 4; 0 vs 6; 0 vs 8; 2 vs 8; 4 vs 8,-0.6,-0.52,-0.77,-0.98,0.07,-0.17,-0.38,-0.24,-0.45,0.19
LOC408847,uroporphyrinogen-III synthase,0 vs 2; 0 vs 4; 0 vs 6; 0 vs 8; 2 vs 8; 4 vs 8,0.55,0.55,0.76,0.9,-0,0.21,0.35,0.21,0.35,-0.07
LOC412540,carcinine transporter,0 vs 2; 0 vs 4; 0 vs 6; 0 vs 8; 2 vs 8; 4 vs 8,-0.6,-0.58,-1.03,-1.21,0.02,-0.43,-0.61,-0.45,-0.63,0.17
Dnmt1a,DNA methyltransferase 1a,0 vs 2; 0 vs 4; 0 vs 6; 0 vs 8; 2 vs 8; 4 vs 8,-0.72,-0.71,-0.98,-1.29,0.01,-0.26,-0.57,-0.27,-0.57,0.46
LOC102656537,uncharacterized LOC102656537,0 vs 2; 0 vs 4; 0 vs 6; 0 vs 8; 2 vs 8; 6 vs 8,1.18,1.27,1.61,1.79,0.09,0.42,0.6,0.33,0.52,-0.72
LOC107964278,uncharacterized LOC107964278,0 vs 2; 0 vs 4; 0 vs 6; 0 vs 8; 2 vs 8; 6 vs 8,1.85,2,2.58,2.85,0.15,0.73,1,0.58,0.85,-1.19
LOC551712,"lipoyltransferase 1, mitochondrial",0 vs 2; 0 vs 4; 0 vs 6; 0 vs 8; 2 vs 8; 6 vs 8,0.35,0.35,0.48,0.54,-0,0.13,0.18,0.13,0.19,-0.23
LOC107964868,uncharacterized LOC107964868,0 vs 2; 0 vs 4; 0 vs 6; 0 vs 8; 2 vs 8; 6 vs 8,1.64,1.92,2.38,2.78,0.27,0.73,1.13,0.46,0.86,-1.01
LOC100576421,uncharacterized LOC100576421,0 vs 2; 0 vs 4; 0 vs 6; 0 vs 8; 2 vs 8; 6 vs 8,0.48,0.51,0.82,0.87,0.02,0.34,0.39,0.31,0.37,-0.61
LOC726571,venom acid phosphatase Acph-1,0 vs 2; 0 vs 4; 0 vs 6; 0 vs 8; 2 vs 8; 6 vs 8,0.66,0.84,1.13,1.11,0.18,0.47,0.45,0.29,0.26,-0.66
LOC413173,THO complex subunit 3,0 vs 2; 0 vs 4; 0 vs 6; 0 vs 8; 2 vs 8; 6 vs 8,-0.32,-0.4,-0.55,-0.63,-0.08,-0.24,-0.31,-0.15,-0.23,0.28
LOC724743,PRKC apoptosis WT1 regulator protein,0 vs 2; 0 vs 4; 0 vs 6; 0 vs 8; 2 vs 8; 6 vs 8,0.43,0.57,0.7,0.78,0.14,0.26,0.35,0.12,0.21,-0.43
LOC551938,elongation of very long chain fatty acids protein AAEL008004,0 vs 2; 0 vs 6; 0 vs 8; 2 vs 8; 4 vs 8; 6 vs 8,0.45,0.29,0.66,0.93,-0.16,0.22,0.48,0.38,0.64,-0.5
Hsp90,heat shock protein 90,0 vs 2; 0 vs 6; 2 vs 4; 2 vs 6; 2 vs 8; 6 vs 8,0.76,-0.46,-0.82,-0.45,-1.22,-1.57,-1.21,-0.36,0.01,1.18
LOC552313,sterol O-acyltransferase 1,0 vs 2; 0 vs 8; 2 vs 6; 2 vs 8; 4 vs 8; 6 vs 8,0.35,0.09,-0.19,-0.52,-0.26,-0.54,-0.87,-0.28,-0.61,0.43
LOC410862,solute carrier family 41 member 3,0 vs 4; 0 vs 6; 0 vs 8; 2 vs 4; 2 vs 6; 2 vs 8,0.14,-0.97,-0.73,-1.38,-1.11,-0.87,-1.52,0.24,-0.41,0.47
LOC107964233,uncharacterized LOC107964233,0 vs 4; 0 vs 6; 0 vs 8; 2 vs 4; 2 vs 6; 2 vs 8,0.15,-1.28,-1.15,-1.12,-1.44,-1.31,-1.27,0.13,0.17,0.88
LOC724411,rhophilin-2,0 vs 4; 0 vs 6; 0 vs 8; 2 vs 4; 2 vs 6; 6 vs 8,0.08,0.43,0.41,0.27,0.35,0.32,0.19,-0.03,-0.16,-0.26
LOC409307,uncharacterized LOC409307,0 vs 4; 0 vs 6; 0 vs 8; 2 vs 6; 2 vs 8; 4 vs 8,0.49,0.81,1.3,1.64,0.32,0.81,1.15,0.49,0.83,-0.66
LOC724700,"putative transferase CAF17 homolog, mitochondrial",0 vs 4; 0 vs 6; 0 vs 8; 2 vs 6; 2 vs 8; 4 vs 8,0.17,0.33,0.55,0.78,0.17,0.38,0.62,0.21,0.45,-0.11
LOC102656798,uncharacterized LOC102656798,0 vs 4; 0 vs 6; 0 vs 8; 2 vs 6; 2 vs 8; 4 vs 8,0.61,0.8,1.52,1.64,0.19,0.91,1.03,0.72,0.84,-0.77
LOC102656634,uncharacterized LOC102656634,0 vs 4; 0 vs 6; 0 vs 8; 2 vs 6; 2 vs 8; 6 vs 8,0.99,2.13,2.3,2.59,1.15,1.32,1.6,0.17,0.46,-1.76
Hex110,hexamerin 110,0 vs 4; 0 vs 6; 0 vs 8; 2 vs 6; 2 vs 8; 6 vs 8,1.79,3.73,5.07,5.38,1.94,3.28,3.58,1.34,1.65,-3.93
LOC725918,"39S ribosomal protein L53, mitochondrial",0 vs 4; 0 vs 6; 0 vs 8; 2 vs 6; 2 vs 8; 6 vs 8,-0.27,-0.6,-0.82,-0.75,-0.33,-0.55,-0.48,-0.22,-0.15,0.66
LOC726371,cysteine dioxygenase type 1,0 vs 4; 0 vs 6; 0 vs 8; 2 vs 6; 2 vs 8; 6 vs 8,0.37,0.9,1.08,1.02,0.53,0.7,0.65,0.18,0.12,-0.78
LOC552771,hydroxyacid oxidase 1,0 vs 4; 0 vs 6; 0 vs 8; 2 vs 6; 2 vs 8; 6 vs 8,0.44,1.13,1.36,1.48,0.69,0.92,1.04,0.23,0.35,-1.08
LOC724304,ATP-binding cassette sub-family G member 1,0 vs 4; 0 vs 6; 0 vs 8; 2 vs 6; 2 vs 8; 6 vs 8,0.39,1.08,1.16,1.17,0.7,0.77,0.79,0.08,0.09,-0.86
LOC727243,uncharacterized LOC727243,0 vs 4; 0 vs 6; 0 vs 8; 2 vs 6; 2 vs 8; 6 vs 8,1.22,2.7,2.86,2.48,1.48,1.64,1.26,0.16,-0.22,-2.14
LOC550965,probable cytochrome P450 6a14,0 vs 4; 0 vs 6; 0 vs 8; 2 vs 6; 2 vs 8; 6 vs 8,0.78,2.12,2.97,3.19,1.34,2.19,2.42,0.85,1.08,-2.87
LOC413575,facilitated trehalose transporter Tret1,0 vs 4; 0 vs 6; 0 vs 8; 2 vs 6; 2 vs 8; 6 vs 8,0.71,1.79,2.17,1.73,1.08,1.46,1.02,0.38,-0.06,-2.18
LOC113219088,uncharacterized LOC113219088,0 vs 4; 0 vs 6; 0 vs 8; 2 vs 6; 2 vs 8; 6 vs 8,1.47,3.15,3.09,3.31,1.68,1.62,1.84,-0.07,0.16,-1.61
LOC413730,"probable cytochrome P450 301a1, mitochondrial",0 vs 4; 0 vs 6; 0 vs 8; 2 vs 6; 2 vs 8; 6 vs 8,0.51,1.12,1.39,1.4,0.61,0.89,0.9,0.27,0.29,-0.7
LOC727135,uncharacterized LOC727135,0 vs 4; 0 vs 6; 0 vs 8; 2 vs 6; 2 vs 8; 6 vs 8,0.16,0.6,0.73,0.71,0.44,0.57,0.55,0.13,0.11,-0.66
